season,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,year,month,day,pred
2,4,0,0,0,1,0.52,0.5,0.68,0.0896,2012,5,20,11.0
2,5,0,0,0,1,0.5,0.4848,0.72,0.1045,2012,5,20,27.0
2,6,0,0,0,1,0.5,0.4848,0.63,0.1343,2012,5,20,88.0
2,7,0,0,0,1,0.52,0.5,0.68,0.194,2012,5,20,218.0
2,8,0,0,0,1,0.56,0.5303,0.56,0.1642,2012,5,20,464.0
2,9,0,0,0,1,0.62,0.6212,0.32,0.2537,2012,5,20,409.0
2,10,0,0,0,1,0.66,0.6212,0.34,0.2985,2012,5,20,307.0
2,11,0,0,0,1,0.66,0.6212,0.36,0.3284,2012,5,20,331.0
2,12,0,0,0,1,0.68,0.6364,0.36,0.3284,2012,5,20,407.0
2,13,0,0,0,1,0.7,0.6364,0.37,0.2836,2012,5,20,410.0
2,14,0,0,0,1,0.72,0.6515,0.39,0.3881,2012,5,20,375.0
2,15,0,0,0,2,0.7,0.6364,0.39,0.4179,2012,5,20,299.0
2,16,0,0,0,1,0.72,0.6515,0.42,0.3582,2012,5,20,497.0
2,17,0,0,0,1,0.72,0.6515,0.45,0.3284,2012,5,20,744.0
2,18,0,0,0,1,0.7,0.6515,0.51,0.3284,2012,5,20,662.0
2,19,0,0,0,1,0.66,0.6212,0.61,0.4179,2012,5,20,441.0
2,20,0,0,0,1,0.66,0.6212,0.61,0.4179,2012,5,20,335.0
2,21,0,0,0,1,0.64,0.6061,0.69,0.3881,2012,5,20,254.0
2,22,0,0,0,1,0.62,0.5909,0.73,0.3284,2012,5,20,200.0
2,23,0,0,0,3,0.6,0.5758,0.78,0.3582,2012,5,20,81.0
2,0,0,1,1,3,0.58,0.5455,0.88,0.2985,2012,5,21,44.0
2,1,0,1,1,3,0.58,0.5455,0.88,0.3582,2012,5,21,25.0
2,2,0,1,1,3,0.56,0.5303,0.94,0.2537,2012,5,21,15.0
2,3,0,1,1,2,0.56,0.5303,0.88,0.2985,2012,5,21,11.0
2,4,0,1,1,3,0.56,0.5303,0.88,0.2985,2012,5,21,6.0
2,5,0,1,1,3,0.56,0.5303,0.88,0.2985,2012,5,21,17.0
2,6,0,1,1,3,0.56,0.5303,0.88,0.2985,2012,5,21,56.0
2,7,0,1,1,3,0.56,0.5303,0.88,0.2985,2012,5,21,138.0
2,8,0,1,1,3,0.56,0.5303,0.88,0.2537,2012,5,21,268.0
2,9,0,1,1,3,0.56,0.5303,0.88,0.2239,2012,5,21,200.0
2,10,0,1,1,3,0.58,0.5455,0.88,0.2836,2012,5,21,150.0
2,11,0,1,1,2,0.6,0.5606,0.83,0.1642,2012,5,21,217.0
2,12,0,1,1,2,0.6,0.5606,0.83,0.2537,2012,5,21,253.0
2,13,0,1,1,3,0.6,0.5606,0.83,0.2537,2012,5,21,202.0
2,14,0,1,1,3,0.6,0.5606,0.83,0.194,2012,5,21,187.0
2,15,0,1,1,2,0.64,0.6061,0.73,0.194,2012,5,21,261.0
2,16,0,1,1,2,0.64,0.6061,0.73,0.2537,2012,5,21,334.0
2,17,0,1,1,2,0.66,0.6212,0.69,0.2537,2012,5,21,521.0
2,18,0,1,1,1,0.64,0.6061,0.73,0.1045,2012,5,21,587.0
2,19,0,1,1,1,0.66,0.6212,0.69,0.0896,2012,5,21,457.0
2,20,0,1,1,1,0.64,0.6061,0.69,0.1343,2012,5,21,333.0
2,21,0,1,1,1,0.62,0.6061,0.69,0.0896,2012,5,21,262.0
2,22,0,1,1,2,0.62,0.5909,0.73,0.1642,2012,5,21,165.0
2,23,0,1,1,1,0.62,0.5909,0.73,0.2836,2012,5,21,129.0
2,0,0,2,1,1,0.58,0.5455,0.83,0.2537,2012,5,22,70.0
2,1,0,2,1,2,0.58,0.5455,0.83,0.1343,2012,5,22,34.0
2,2,0,2,1,2,0.58,0.5455,0.83,0.1045,2012,5,22,22.0
2,3,0,2,1,2,0.58,0.5455,0.83,0.1045,2012,5,22,13.0
2,4,0,2,1,2,0.56,0.5303,0.88,0.1642,2012,5,22,8.0
2,5,0,2,1,3,0.56,0.5303,0.88,0.194,2012,5,22,18.0
2,6,0,2,1,3,0.56,0.5303,0.88,0.1045,2012,5,22,60.0
2,7,0,2,1,3,0.56,0.5303,0.88,0.1045,2012,5,22,148.0
2,8,0,2,1,2,0.56,0.5303,0.88,0.1343,2012,5,22,349.0
2,9,0,2,1,2,0.6,0.5606,0.83,0.1045,2012,5,22,281.0
2,10,0,2,1,2,0.6,0.5758,0.78,0.0896,2012,5,22,213.0
2,11,0,2,1,2,0.6,0.5758,0.78,0.0,2012,5,22,238.0
2,12,0,2,1,2,0.62,0.5909,0.78,0.1045,2012,5,22,285.0
2,13,0,2,1,2,0.64,0.6061,0.73,0.0,2012,5,22,299.0
2,14,0,2,1,2,0.64,0.6061,0.73,0.1045,2012,5,22,266.0
2,15,0,2,1,1,0.7,0.6515,0.61,0.0896,2012,5,22,382.0
2,16,0,2,1,1,0.68,0.6364,0.61,0.1045,2012,5,22,479.0
2,17,0,2,1,1,0.72,0.6667,0.54,0.0,2012,5,22,798.0
2,18,0,2,1,1,0.68,0.6364,0.61,0.1343,2012,5,22,655.0
2,19,0,2,1,1,0.66,0.6212,0.69,0.2239,2012,5,22,452.0
2,20,0,2,1,1,0.64,0.6061,0.73,0.2537,2012,5,22,327.0
2,21,0,2,1,1,0.62,0.5909,0.78,0.1343,2012,5,22,256.0
2,22,0,2,1,1,0.62,0.5909,0.73,0.0896,2012,5,22,212.0
2,23,0,2,1,1,0.62,0.5909,0.73,0.1045,2012,5,22,138.0
2,0,0,3,1,1,0.62,0.5909,0.78,0.1343,2012,5,23,81.0
2,1,0,3,1,1,0.6,0.5606,0.83,0.1642,2012,5,23,44.0
2,2,0,3,1,2,0.6,0.5606,0.83,0.1642,2012,5,23,23.0
2,3,0,3,1,1,0.6,0.5758,0.78,0.1045,2012,5,23,18.0
2,4,0,3,1,3,0.58,0.5455,0.83,0.194,2012,5,23,7.0
2,5,0,3,1,3,0.56,0.5303,0.88,0.2537,2012,5,23,18.0
2,6,0,3,1,1,0.56,0.5303,0.88,0.1045,2012,5,23,93.0
2,7,0,3,1,1,0.58,0.5455,0.83,0.0,2012,5,23,247.0
2,8,0,3,1,1,0.58,0.5455,0.83,0.0,2012,5,23,474.0
2,9,0,3,1,2,0.62,0.5909,0.78,0.0,2012,5,23,312.0
2,10,0,3,1,1,0.62,0.5909,0.78,0.0896,2012,5,23,277.0
2,11,0,3,1,1,0.64,0.6061,0.73,0.0,2012,5,23,323.0
2,12,0,3,1,2,0.66,0.6212,0.69,0.0896,2012,5,23,318.0
2,13,0,3,1,2,0.66,0.6212,0.74,0.1642,2012,5,23,303.0
2,14,0,3,1,1,0.68,0.6364,0.65,0.1343,2012,5,23,362.0
2,15,0,3,1,2,0.7,0.6515,0.61,0.0,2012,5,23,324.0
2,16,0,3,1,3,0.7,0.6515,0.61,0.0896,2012,5,23,334.0
2,17,0,3,1,3,0.64,0.6061,0.69,0.1045,2012,5,23,445.0
2,18,0,3,1,3,0.64,0.6061,0.69,0.1045,2012,5,23,409.0
